"","GEOID","NAME","populationE","med_ageE","bachelor_degree_25E","med_hh_incomeE","whiteE","blackE","asianE","hispanicE"
"1","360050245023","Block Group 3, Census Tract 245.02, Bronx County, New York",1886,28.9,80,30500,291,451,0,1648
"2","360050247002","Block Group 2, Census Tract 247, Bronx County, New York",1318,35.4,106,44524,60,690,6,662
"3","360050253004","Block Group 4, Census Tract 253, Bronx County, New York",1222,26.6,54,36250,115,45,0,1155
"4","360050263005","Block Group 5, Census Tract 263, Bronx County, New York",1941,63.8,304,12351,604,428,0,891
"5","360050265004","Block Group 4, Census Tract 265, Bronx County, New York",1191,28.2,87,38099,34,266,88,892
"6","360050266025","Block Group 5, Census Tract 266.02, Bronx County, New York",755,38,151,69306,585,33,50,274
"7","360050267011","Block Group 1, Census Tract 267.01, Bronx County, New York",1668,37.1,366,73313,67,152,463,1056
"8","360050213023","Block Group 3, Census Tract 213.02, Bronx County, New York",986,35.6,24,34575,110,364,0,618
"9","360050213022","Block Group 2, Census Tract 213.02, Bronx County, New York",863,39.4,20,NA,50,523,13,424
"10","360050213021","Block Group 1, Census Tract 213.02, Bronx County, New York",1709,28.3,266,NA,168,1060,28,976
"11","360050216023","Block Group 3, Census Tract 216.02, Bronx County, New York",2359,37.7,468,56593,629,1079,354,930
"12","360050216021","Block Group 1, Census Tract 216.02, Bronx County, New York",335,26.7,81,86375,198,109,0,226
"13","360050216022","Block Group 2, Census Tract 216.02, Bronx County, New York",1535,44,517,46360,181,630,415,254
"14","360050219001","Block Group 1, Census Tract 219, Bronx County, New York",1045,33.8,74,21686,105,121,10,966
"15","360050233013","Block Group 3, Census Tract 233.01, Bronx County, New York",965,27.8,89,15587,7,388,19,570
"16","360050233011","Block Group 1, Census Tract 233.01, Bronx County, New York",537,47,66,25272,88,70,0,467
"17","360050233012","Block Group 2, Census Tract 233.01, Bronx County, New York",1497,32.5,144,40389,201,675,41,831
"18","360050119002","Block Group 2, Census Tract 119, Bronx County, New York",832,29.4,53,27875,83,312,0,520
"19","360050119004","Block Group 4, Census Tract 119, Bronx County, New York",902,47.8,17,17763,66,201,0,659
"20","360050115021","Block Group 1, Census Tract 115.02, Bronx County, New York",1634,20.8,63,22500,246,612,0,1055
"21","360050115022","Block Group 2, Census Tract 115.02, Bronx County, New York",1241,31.3,172,19313,61,555,0,799
"22","360050141001","Block Group 1, Census Tract 141, Bronx County, New York",1778,31.1,155,25855,162,731,0,1150
"23","360050141003","Block Group 3, Census Tract 141, Bronx County, New York",2189,34.4,264,37540,227,1031,14,1219
"24","360050155001","Block Group 1, Census Tract 155, Bronx County, New York",2149,30.7,114,18763,188,559,0,1609
"25","360050151001","Block Group 1, Census Tract 151, Bronx County, New York",794,33.7,129,35391,26,634,0,154
"26","360050153001","Block Group 1, Census Tract 153, Bronx County, New York",2413,35.1,381,NA,123,1308,111,1315
"27","360050153002","Block Group 2, Census Tract 153, Bronx County, New York",1076,25.2,91,NA,13,741,0,344
"28","360050236001","Block Group 1, Census Tract 236, Bronx County, New York",1056,31,80,NA,357,134,77,615
"29","360050223003","Block Group 3, Census Tract 223, Bronx County, New York",1654,37.1,83,29719,228,251,0,1271
"30","360050223002","Block Group 2, Census Tract 223, Bronx County, New York",998,37,83,39271,98,67,0,861
"31","360050223001","Block Group 1, Census Tract 223, Bronx County, New York",1088,31.6,46,24750,153,120,0,999
"32","360050254001","Block Group 1, Census Tract 254, Bronx County, New York",1141,37.8,235,44250,796,66,107,308
"33","360050296002","Block Group 2, Census Tract 296, Bronx County, New York",141,34.3,43,60250,105,0,36,12
"34","360050376001","Block Group 1, Census Tract 376, Bronx County, New York",1359,33.8,219,48523,214,526,0,758
"35","360050027012","Block Group 2, Census Tract 27.01, Bronx County, New York",1498,23.3,114,20250,145,375,0,1152
"36","360050065004","Block Group 4, Census Tract 65, Bronx County, New York",889,24.1,18,29706,24,565,0,431
"37","360050065002","Block Group 2, Census Tract 65, Bronx County, New York",2345,37.3,264,19329,327,1093,61,1152
"38","360050065001","Block Group 1, Census Tract 65, Bronx County, New York",1011,30.4,70,20847,274,177,8,733
"39","360050235022","Block Group 2, Census Tract 235.02, Bronx County, New York",936,41.6,26,20391,93,160,48,820
"40","360050251003","Block Group 3, Census Tract 251, Bronx County, New York",581,35.4,55,NA,58,40,381,160
"41","360050251004","Block Group 4, Census Tract 251, Bronx County, New York",528,32.7,64,NA,306,0,0,490
