table_id,count_census,count_panel,field_level_2,bias,abs_bias,representation_ratio
B19001e17,260391.0,39274.66886112921," $200,000 Or More",-0.9337742179510258,0.9337742179510258,0.8879207364045599
B19001e2,318371.0,56097.1699708778," Less Than $10,000",0.37972965419836235,0.37972965419836235,1.0372778084037875
B19001e16,191014.0,30724.470459105156," $150,000 To $199,999",-0.3244903106776498,0.3244903106776498,0.9469059452066175
B19001e4,166801.0,29902.0992301746," $15,000 To $19,999",0.2953216995442851,0.2953216995442851,1.0553357841644593
B19001e13,342232.0,59225.836610263505," $75,000 To $99,999",0.20558350045548224,0.20558350045548224,1.0187748726909838
B19001e8,124115.0,22131.203418099278," $35,000 To $39,999",0.19739621564767162,0.19739621564767162,1.0497077276786089
B19001e14,249064.0,41262.31312387226," $100,000 To $124,999",-0.19697603501902528,0.19697603501902528,0.9752820874071962
B19001e7,136360.0,23996.80081269446," $30,000 To $34,999",0.1570052553006107,0.1570052553006107,1.0359862469975376
B19001e3,186247.0,32330.394546896783," $10,000 To $14,999",0.1305174623239509,0.1305174623239509,1.0219022481284938
B19001e5,150410.0,26220.984270838806," $20,000 To $24,999",0.12640383886082862,0.12640383886082862,1.0262659378285541
B19001e15,161139.0,27064.00514697499," $125,000 To $149,999",-0.058089647469032,0.058089647469032,0.9887330222590314
B19001e10,100946.0,17325.79674564516," $45,000 To $49,999",0.03357820910175979,0.03357820910175979,1.0103962753688394
B19001e9,122277.0,20665.568822617424," $40,000 To $44,999",-0.01985613798275887,0.01985613798275887,0.994924727482107
B19001e6,136532.0,23230.92376765533," $25,000 To $29,999",0.007244863404316959,0.007244863404316959,1.0016584604118566
B19001e12,272756.0,46356.44508528103," $60,000 To $74,999",0.004491250454252693,0.004491250454252693,1.0005146385572996
B19001e11,206772.0,35102.3191278742," $50,000 To $59,999",-0.004085600192024863,0.004085600192024863,0.9993824480514113
