store_id,naics_code,top_category,sub_category,brand_name,match_type
sg:00ef4456127c477c812e940d10def160,452210,Department Stores,Department Stores,JCPenney,brand_id
sg:159eb0e111a340b1ac23843176622804,452210,Department Stores,Department Stores,JCPenney,brand_id
sg:a5d8b3f9f6b54f259ac75634c6b5c4b2,452210,Department Stores,Department Stores,JCPenney,brand_id
sg:3cdfe9d9c55c4a2bb36b05fc6f7c7d54,452210,Department Stores,Department Stores,Macy's,brand_id
sg:6a1fead832624e1ea87d46316d70fefd,452210,Department Stores,Department Stores,Macy's,brand_id
sg:7f1fde9fd68b47899bfab9cd5f0071df,452210,Department Stores,Department Stores,Macy's,brand_id
sg:869b464f49e74e269e71e7f84ef48ede,452210,Department Stores,Department Stores,Macy's,brand_id
sg:95f37cdd81a14dacbb53ca5b4dfda1fd,452210,Department Stores,Department Stores,Macy's,brand_id
sg:9eb470b911834d2b9135644f191238eb,452210,Department Stores,Department Stores,Macy's,brand_id
sg:fd79ecc3453c44e8922dbd22594aebd2,452210,Department Stores,Department Stores,Macy's,brand_id
sg:f4d5d71201c24143a7a6aecc6b846cfb,452210,Department Stores,Department Stores,Saks Off Fifth,brand_id
sg:06fa68d3dd964dc99af9891c65d1a5e9,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:078a45773f344a14af7e24dfd6e8d90b,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:18df4e86ce134c9faed6d00d755033ad,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:3682bcbecb2946389ded4e1089994c58,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:52de54a8c5b74a3c9f0cd9b44b7830aa,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:95285365ea084c05930d3ccab60bb2ca,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:ad7ad5129c3245b6bfb4ccde3af534b9,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:bbfc2e6f87f24f3694399dc168f164a2,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:bd818b6652ec408dbdf07a3b600b9acd,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:ee52995162e849989710efd529ceadf8,452210,Department Stores,Department Stores,Sears Home Services,brand_id
sg:047d5451c50b4d74934b342fcee296d3,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:0d114e120c8b440a9068d296007703e2,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:0f866087bfc343458c98dd031b228192,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:19c431aa35e3402aae666b0fadc32870,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:35a9fa94ed174ae9acdbd6c41951ab9d,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:372bb8517c81493daaf891f47605834a,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:43f43e0d55334cea8772023b5b73c13b,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:450ecbee304d4472a3dbd9198d87123d,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:4f555ee9638a42a38ae31a3d1ea0e8a5,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:5cd2a6d5a3e54dbfba713ab8b26cf501,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:7a8a5b3ec0f94d869c388ee46bff1503,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:8e06442d4be946ffbebfff93e4659e90,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:9b0b25d2e491405d839cf58f130d7b49,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:be53cc3db7c4491d8c432c957a6f46d1,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:eb3b350749604f60abc470b0ae0b4822,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
sg:f6e4a52866b04e078ea11f4eea0dcc16,452210,Department Stores,Department Stores,T.J. Maxx,brand_id
aggregated_4024_College,452210,Department Stores,Department Stores,Target,brand_id
aggregated_40W,452210,Department Stores,Department Stores,Target,brand_id
aggregated_517E,452210,Department Stores,Department Stores,Target,brand_id
sg:084ab2c726784ab490b72144d44d4ee8,452210,Department Stores,Department Stores,Target,brand_id
sg:1ac978d80ab84d4aa1d9f7148d1fafb8,452210,Department Stores,Department Stores,Target,brand_id
sg:268ea7486c334ad8ad2d0e4e08f3ff9e,452210,Department Stores,Department Stores,Target,brand_id
sg:3275834c58d241baacdb9965f5003af6,452210,Department Stores,Department Stores,Target,brand_id
sg:4c2a6e828527407d863fc641eaa20ac3,452210,Department Stores,Department Stores,Target,brand_id
sg:51c8d943ff72400ab86e7e8896f4b5af,452210,Department Stores,Department Stores,Target,brand_id
sg:7a48b2cf2a904e9ebbdef801d0576c4d,452210,Department Stores,Department Stores,Target,brand_id
sg:84898e686e71419b805d5212ae814111,452210,Department Stores,Department Stores,Target,brand_id
sg:c843f07483c04a22960814f2d859ec04,452210,Department Stores,Department Stores,Target,brand_id
sg:cffe77a3b2f543af9387cdc0a69cb0b8,452210,Department Stores,Department Stores,Target,brand_id
sg:eb96ed984b274a57ae29762d73738d99,452210,Department Stores,Department Stores,Target,brand_id
sg:f189f91419974d03a20257132d73da58,452210,Department Stores,Department Stores,Target,brand_id
sg:02abff33ba734370ab34c784a630f241,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Costco Wholesale Corp.,brand_id
sg:4648da5b52e64275af04e3e791f03e33,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Costco Wholesale Corp.,brand_id
sg:a61e1c7be39f4294824e1bd68483fb03,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Costco Wholesale Corp.,brand_id
sg:fea0697046444a639424021f7357fa0a,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Costco Wholesale Corp.,brand_id
sg:00e39e94fa1a403d8314f5e251deb299,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:06c105c9b47546edb83bc6070ebec9e5,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0750ee965608479ebd35ed29a3647802,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0a5b4f042e5c44809fba0b8b263799b7,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0a735ceaf7ad4fa9930388e66ef8515a,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0d9fe727bf634df3b1f5c9f7460f75e4,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:0edae69520254b09b3180a4b1b92e486,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:14969ac1d3ef4330a50564ecd6e1aaa4,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:18232f8736da44e4b6d2fd69ca4bce19,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:1b84da99a0a545c99110a376a840293c,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:1e2da999c0ca40319f97f14b810712df,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:20b887c93c434d69b41c2db57591a9eb,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:233d5a3787614d2c8f9baf73ea5bc3e9,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
sg:261725ec4b2544a8975a7a1e5ec20d65,452319,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,Dollar Tree,brand_id
