census_block_group,census_population,number_devices_residing,state_fips,county_fips,state,county,borough,bias,abs_bias,expected_devices_if_representative,device_count_gap,devices_per_100_residents,representation_ratio,log_representation_ratio
360050001000,0,1.0,36,005,NY,Bronx County,Bronx,0.00018309552276518182,0.00018309552276518182,0.0,1.0,,inf,inf
360050001001,7503,21.0,36,005,NY,Bronx County,Bronx,-0.08482238447669692,0.08482238447669692,484.26847972946223,-463.26847972946223,0.2798880447820872,0.043364375091543644,-3.138117025383225
360050002000,0,0.0,36,005,NY,Bronx County,Bronx,0.0,0.0,0.0,0.0,,,
360050002001,2114,53.0,36,005,NY,Bronx County,Bronx,-0.015278326127428406,0.015278326127428406,136.44456432734682,-83.44456432734682,2.507095553453169,0.3884361407966877,-0.9456264964389806
360050002002,2168,99.0,36,005,NY,Bronx County,Bronx,-0.007494082031523842,0.007494082031523842,139.92990324583155,-40.929903245831554,4.5664206642066425,0.7074970946422716,-0.3460217559858664
360050002003,969,68.0,36,005,NY,Bronx County,Bronx,0.0009992491998159162,0.0009992491998159162,62.542470592809394,5.457529407190606,7.017543859649122,1.0872611739744427,0.08366184972442105
360050004000,0,18.0,36,005,NY,Bronx County,Bronx,0.003295719409773273,0.003295719409773273,0.0,18.0,,inf,inf
360050004001,646,41.0,36,005,NY,Bronx County,Bronx,-0.00012724779877184428,0.00012724779877184428,41.694980395206265,-0.6949803952062652,6.3467492260061915,0.983331797050415,-0.016808680639213567
360050004002,1400,66.0,36,005,NY,Bronx County,Bronx,-0.004460323864374187,0.004460323864374187,90.36063862738199,-24.360638627381988,4.714285714285714,0.7304065243735453,-0.31415401713784386
360050004003,3393,170.0,36,005,NY,Bronx County,Bronx,-0.008970849736212594,0.008970849736212594,218.9954620447908,-48.9954620447908,5.010315355142941,0.7762717930896219,-0.2532525712948879
360050004004,541,33.0,36,005,NY,Bronx County,Bronx,-0.00035116485337758404,0.00035116485337758404,34.91793249815262,-1.9179324981526165,6.099815157116451,0.9450731368973783,-0.05649296094092075
360050016001,3427,120.0,36,005,NY,Bronx County,Bronx,-0.018527423991952962,0.018527423991952962,221.18993469717006,-101.18993469717006,3.501604902246863,0.5425201655956513,-0.6115300226534822
360050016002,662,36.0,36,005,NY,Bronx County,Bronx,-0.0012318068796477672,0.0012318068796477672,42.72767340809063,-6.727673408090631,5.438066465256798,0.8425452904061768,-0.17132786104181777
