census_block_group,census_population,number_devices_residing,state_fips,county_fips,state,county,borough,bias,abs_bias,expected_devices_if_representative,device_count_gap,devices_per_100_residents,representation_ratio,log_representation_ratio
360050001001,7503,21.0,36,005,NY,Bronx County,Bronx,-0.08485328898323685,0.08485328898323685,471.7440652105135,-450.7440652105135,0.2798880447820872,0.04451566336214288,-3.1119141660762324
360050002001,2114,53.0,36,005,NY,Bronx County,Bronx,-0.015044269409929057,0.015044269409929057,132.91576087631955,-79.91576087631955,2.507095553453169,0.3987487988675582,-0.9194236371319877
360050002002,2168,99.0,36,005,NY,Bronx County,Bronx,-0.007023847724444719,0.007023847724444719,136.3109600661593,-37.31096006615931,4.5664206642066425,0.7262805569849246,-0.31981889667887364
360050002003,969,68.0,36,005,NY,Bronx County,Bronx,0.0013318869511708548,0.0013318869511708548,60.92496323990238,7.075036760097618,7.017543859649122,1.1161270583330263,0.10986470903141396
360050004001,646,41.0,36,005,NY,Bronx County,Bronx,7.216772465287909e-05,7.216772465287909e-05,40.61664215993492,0.3833578400650808,6.3467492260061915,1.0094384424629574,0.009394178667779297
360050004002,1400,66.0,36,005,NY,Bronx County,Bronx,-0.004145993384754134,0.004145993384754134,88.02368269954935,-22.023682699549354,4.714285714285714,0.7497982131158651,-0.28795115783085096
360050004003,3393,170.0,36,005,NY,Bronx County,Bronx,-0.008157258309098761,0.008157258309098761,213.331682428265,-43.331682428265,5.010315355142941,0.7968811667585488,-0.22704971198789492
360050004004,541,33.0,36,005,NY,Bronx County,Bronx,-0.00019105013468812774,0.00019105013468812774,34.01486595746872,-1.0148659574687215,6.099815157116451,0.9701640465454816,-0.030290101633927907
360050016001,3427,120.0,36,005,NY,Bronx County,Bronx,-0.01797226685730578,0.01797226685730578,215.4694004366826,-95.4694004366826,3.501604902246863,0.5569236270059745,-0.5853271633464895
360050016002,662,36.0,36,005,NY,Bronx County,Bronx,-0.0010584685177582667,0.0010584685177582667,41.622627105072624,-5.622627105072624,5.438066465256798,0.864914170581333,-0.14512500173482476
360050016003,466,42.0,36,005,NY,Bronx County,Bronx,0.002390924856150233,0.002390924856150233,29.299311527135718,12.700688472864282,9.012875536480687,1.4334807820006783,0.3601055999037957
360050016004,1501,133.0,36,005,NY,Bronx County,Bronx,0.007271413117045211,0.007271413117045211,94.37396266573114,38.62603733426886,8.860759493670885,1.409287013528093,0.34308391233436514
360050019001,1737,173.0,36,005,NY,Bronx County,Bronx,0.012008147414832662,0.012008147414832662,109.21224060651231,63.78775939348769,9.959700633275762,1.584071520181631,0.4599984440027476
360050019003,869,58.0,36,005,NY,Bronx County,Bronx,0.0006329851934865488,0.0006329851934865488,54.63755733279171,3.362442667208292,6.67433831990794,1.0615408673328495,0.059721501027100755
360050020001,1267,62.0,36,005,NY,Bronx County,Bronx,-0.0033247928937079115,0.0033247928937079115,79.66143284309217,-17.66143284309217,4.89344909234412,0.7782938090270154,-0.25065117952997423
360050020002,1794,70.0,36,005,NY,Bronx County,Bronx,-0.008056426904459566,0.008056426904459566,112.7960619735654,-42.7960619735654,3.9018952062430325,0.6205890416316575,-0.47708618482330906
360050020003,3073,132.0,36,005,NY,Bronx County,Bronx,-0.011523253500634562,0.011523253500634562,193.21198352551085,-61.211983525510846,4.295476732834364,0.6831874379187838,-0.38098602379804025
360050020004,1308,86.0,36,005,NY,Bronx County,Bronx,0.0007079635573136595,0.0007079635573136595,82.23926926500755,3.7607307349924497,6.574923547400612,1.0457291360757826,0.044714379982437116
360050020005,482,25.0,36,005,NY,Bronx County,Bronx,-0.0009987305201529777,0.0009987305201529777,30.305296472273426,-5.305296472273426,5.186721991701245,0.8249383081558933,-0.19244667343632615
360050020006,1207,48.0,36,005,NY,Bronx County,Bronx,-0.005250146704246537,0.005250146704246537,75.88898929882578,-27.888989298825777,3.9768019884009944,0.6325028234463876,-0.4580705944435672
360050023001,2560,128.0,36,005,NY,Bronx County,Bronx,-0.006204319098130497,0.006204319098130497,160.95759122203313,-32.95759122203313,5.0,0.7952405290622812,-0.2291106578079176
360050023002,547,40.0,36,005,NY,Bronx County,Bronx,0.0010556941755153655,0.0010556941755153655,34.39211031189536,5.607889688104642,7.312614259597806,1.163057446526188,0.15105226743802838
360050023003,1717,67.0,36,005,NY,Bronx County,Bronx,-0.007709798763768757,0.007709798763768757,107.95475942509019,-40.95475942509019,3.9021549213744904,0.6206303488313667,-0.4770196257604362
360050024001,123,17.0,36,005,NY,Bronx County,Bronx,0.0017444316560594193,0.0017444316560594193,7.733509265746123,9.266490734253878,13.821138211382113,2.1982258526924845,0.787650604429872
360050025001,1177,49.0,36,005,NY,Bronx County,Bronx,-0.004706810853587805,0.004706810853587805,74.00276752669257,-25.002767526692566,4.163126593033135,0.6621373988793845,-0.4122821934035767
360050025002,1038,62.0,36,005,NY,Bronx County,Bronx,-0.0006143164049609452,0.0006143164049609452,65.26327331580873,-3.263273315808732,5.973025048169557,0.9499983198817232,-0.05129506293466891
360050025003,1470,51.0,36,005,NY,Bronx County,Bronx,-0.007798297233177241,0.007798297233177241,92.42486683452682,-41.424866834526824,3.4693877551020407,0.5517995507779094,-0.5945704313023827
360050025004,1385,41.0,36,005,NY,Bronx County,Bronx,-0.008674741118945409,0.008674741118945409,87.08057181348276,-46.08057181348276,2.96028880866426,0.4708283276758632,-0.7532617361710577
