comparison_sample,parameter,period,full_sample_pct_change,comparison_sample_pct_change,absolute_difference_percentage_points,relative_difference_percent
Excluding top 10% absolute sampling-bias CBGs,store_area,2018_2019,0.7722519703224966,1.3611232281818397,0.5888712578593431,76.25377214815359
Excluding top 10% absolute sampling-bias CBGs,store_area,2019_2020,78.57920139308493,77.70797718786484,-0.8712242052200878,-1.1087211243874473
Excluding top 10% absolute sampling-bias CBGs,store_area,2020_2021,1.3389933603593158,1.4772003334885344,0.1382069731292186,10.321707128714294
Excluding top 10% absolute sampling-bias CBGs,store_area,2019_2021,80.97036504272103,80.3330800195197,-0.6372850232013292,-0.7870595900921149
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2018_2019,-0.09888578999364273,-0.08246867540429278,0.01641711458934994,16.60209681330895
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2019_2020,43.461658269460024,44.19212640978213,0.7304681403221025,1.6807185215834104
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2020_2021,0.263058392551602,-0.10004682817331408,-0.3631052207249161,-138.0321749870378
Excluding top 10% absolute sampling-bias CBGs,chain_loyalty,2019_2021,43.83904620163154,44.047866760833486,0.2088205592019463,0.4763346315554072
Excluding top 10% absolute sampling-bias CBGs,poi_count,2018_2019,-0.7976588231580292,-0.47085500526138924,0.3268038178966399,40.97037585603121
Excluding top 10% absolute sampling-bias CBGs,poi_count,2019_2020,27.934428380291113,28.123484933278405,0.1890565529872923,0.6767869040079569
Excluding top 10% absolute sampling-bias CBGs,poi_count,2020_2021,13.145700335522333,13.075851988485837,-0.0698483470364959,-0.5313398697196191
Excluding top 10% absolute sampling-bias CBGs,poi_count,2019_2021,44.75230496112762,44.87672218564384,0.12441722451622184,0.27801299759708936
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2018_2019,0.7592736050564934,1.1417528908428483,0.3824792857863548,50.37436877025333
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2019_2020,12.20235795794165,11.932686018048189,-0.2696719398934615,-2.2099985988195923
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2020_2021,3.227388750016426,3.110707539898247,-0.11668121011817867,-3.6153441421516024
Excluding top 10% absolute sampling-bias CBGs,poi_diversity,2019_2021,15.82356423592942,15.414584521622244,-0.4089797143071756,-2.5846244765672646
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2018_2019,-0.4242017445921579,-0.6101303419009175,-0.1859285973087596,-43.83022929043296
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2019_2020,2.4982972296433967,2.6833668401456365,0.1850696105022398,7.407829953390148
Excluding top 10% absolute sampling-bias CBGs,demographic_similarity,2020_2021,-0.3150477896393657,0.18640331251582953,0.5014511021551953,159.16667840431603
